NEWID,FAM_SIZE,NUM_AUTO,FINCBTXM,TOTEXP,ALCBEV,FOOD,FDHOME,FDMAP,FDAWAY,MAJAPP,TENTRM,EDUCA,ELCTRC
4380134,3,0,46976.6,26646.2,120.0,7280.0,4940.0,0.0,2340.0,0.0,0.0,0.0,1440.0
4380144,1,0,35549.8,38687.4004,312.0,5720.0,4160.0,0.0,1560.0,0.0,0.0,0.0,1096.0
4380154,1,0,3600.0,30755.0004,600.0,3120.0,3120.0,0.0,0.0,0.0,0.0,0.0,0.0
4380184,1,0,25513.0,42892.0,480.0,4888.0,3640.0,0.0,1248.0,0.0,0.0,0.0,700.0
4380234,1,0,12128.4,15716.0,0.0,3380.0,3380.0,0.0,0.0,0.0,0.0,0.0,1764.0
4380264,1,0,96657.8,57862.1996,0.0,3900.0,3900.0,0.0,0.0,0.0,0.0,3200.0,692.0
4380304,2,0,18750.0,24565.0004,0.0,7800.0,6240.0,0.0,1560.0,0.0,0.0,0.0,1256.0
4380354,2,0,42698.0,45456.0,240.0,8632.0,7800.0,0.0,832.0,0.0,0.0,0.0,2548.0
4380364,3,2,104294.0,129754.0,300.0,23660.0,18460.0,0.0,5200.0,0.0,0.0,36000.0,2104.0
4380394,1,1,77651.6,50559.5996,0.0,4340.0,2080.0,0.0,2260.0,0.0,0.0,0.0,0.0
4380474,3,1,154679.6,87940.8004,600.0,11780.0,9300.0,0.0,2480.0,1860.0,0.0,0.0,1444.0
4380484,2,0,16655.6,23335.5996,0.0,7800.0,5200.0,0.0,2600.0,0.0,0.0,0.0,0.0
4380504,4,0,51600.0,50567.0004,300.0,4940.0,4160.0,0.0,780.0,0.0,0.0,0.0,2240.0
4380534,3,2,73845.6,38979.2004,1152.0,8496.0,5200.0,0.0,3296.0,0.0,0.0,0.0,1584.0
4380604,4,1,133200.0,103157.1088,0.0,10920.0,7800.0,0.0,3120.0,0.0,0.0,5520.0,1108.0
4380614,1,0,18287.0,19104.0,0.0,1612.0,1352.0,0.0,260.0,0.0,0.0,0.0,1044.0
4380684,4,0,17506.8,25171.2,120.0,10400.0,9100.0,0.0,1300.0,0.0,0.0,0.0,1020.0
4380724,1,1,1200.0,29128.0,0.0,3900.0,3900.0,0.0,0.0,0.0,0.0,0.0,1184.0
4380794,1,0,9090.0,16008.0,0.0,3640.0,3120.0,0.0,520.0,0.0,0.0,0.0,752.0
4380804,4,1,244921.2,95239.1996,0.0,14560.0,14040.0,0.0,520.0,1800.0,0.0,2000.0,1384.0
4380824,3,1,207640.0,74208.6004,600.0,4940.0,4160.0,0.0,780.0,1200.0,0.0,0.0,784.0
4380834,5,5,180484.0,64608.1996,0.0,6240.0,3120.0,0.0,3120.0,0.0,0.0,0.0,880.0
4380874,1,1,34488.6,25150.4004,1024.0,5408.0,3612.0,0.0,1796.0,0.0,0.0,0.0,1680.0
4380884,2,2,52084.8,24248.0,0.0,5200.0,5200.0,0.0,0.0,0.0,0.0,0.0,1680.0
4380904,4,0,242100.0,93535.9996,1500.0,10920.0,5200.0,0.0,5720.0,0.0,0.0,0.0,1160.0
4380934,1,1,37782.0,35092.0,180.0,5460.0,5200.0,0.0,260.0,0.0,0.0,0.0,480.0
4381014,1,1,27695.2,121850.6,2400.0,11188.0,3900.0,8.0,7288.0,0.0,0.0,0.0,0.0
4381034,4,1,233763.2,80167.7976,900.0,10400.0,7800.0,0.0,2600.0,0.0,0.0,0.0,1800.0
4381064,1,0,53000.0,24652.0,720.0,2080.0,2080.0,0.0,0.0,0.0,0.0,0.0,752.0
4381134,3,1,31000.0,29640.0004,0.0,6240.0,6240.0,0.0,0.0,0.0,0.0,0.0,1308.0
4381164,3,1,65062.0,62650.0004,0.0,19240.0,14040.0,0.0,5200.0,0.0,0.0,0.0,3900.0
4381174,1,1,2474.6,18332.0,0.0,4916.0,3120.0,0.0,1796.0,0.0,0.0,0.0,1440.0
4381204,3,1,82439.0,47367.5996,240.0,5720.0,4680.0,0.0,1040.0,0.0,0.0,0.0,1076.0
4381214,2,0,14943.4,14396.0,0.0,2132.0,2132.0,0.0,0.0,0.0,0.0,0.0,908.0
4381284,1,0,14000.0,18675.0,84.0,6284.0,4540.0,0.0,1744.0,0.0,100.0,0.0,1664.0
4381334,2,1,109982.0,264392.0004,360.0,8268.0,5356.0,0.0,2912.0,712.0,0.0,0.0,848.0
4381344,1,0,13968.0,15216.0,360.0,1040.0,1040.0,0.0,0.0,0.0,0.0,0.0,720.0
4381354,1,0,53949.8,20924.4208,0.0,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0
4381414,1,1,19881.0,18056.0,0.0,2080.0,2080.0,0.0,0.0,0.0,0.0,0.0,980.0
4381424,1,0,1464.0,17374.0,0.0,2340.0,1300.0,0.0,1040.0,0.0,0.0,0.0,1500.0
4381454,5,0,192875.0,124283.798,960.0,8320.0,8320.0,0.0,0.0,1496.0,0.0,12000.0,3000.0
4381474,2,1,100737.0,45744.7972,200.0,10644.0,7124.0,0.0,3520.0,0.0,0.0,0.0,1240.0
4381484,2,1,50000.0,32024.0004,300.0,4920.0,4680.0,0.0,240.0,0.0,240.0,0.0,860.0
4381494,2,0,39142.6,27366.3996,0.0,2912.0,2652.0,0.0,260.0,0.0,0.0,0.0,2100.0
4381554,2,1,172250.0,73175.0004,3000.0,10244.0,8632.0,0.0,1612.0,0.0,0.0,0.0,996.0
4381654,2,2,43244.0,79072.0,180.0,9048.0,5928.0,0.0,3120.0,0.0,0.0,0.0,1064.0
4381674,2,2,39900.0,34087.9996,0.0,4160.0,2600.0,0.0,1560.0,3136.0,0.0,0.0,1088.0
4381694,2,1,95420.8,66050.0004,520.0,16240.0,10920.0,0.0,5320.0,0.0,0.0,0.0,1516.0
4381704,3,1,2800.0,76886.4204,1200.0,15340.0,10140.0,0.0,5200.0,0.0,0.0,0.0,1816.0
4381714,4,2,344480.4,99115.2004,300.0,10920.0,9100.0,0.0,1820.0,0.0,0.0,0.0,1808.0
4381744,3,0,175200.0,80988.0,120.0,16640.0,10400.0,0.0,6240.0,0.0,0.0,0.0,2892.0
4381804,2,1,85764.0,67980.0,720.0,7824.0,5224.0,0.0,2600.0,0.0,0.0,0.0,732.0
4381864,1,0,27582.0,38108.0,0.0,7800.0,7800.0,0.0,0.0,0.0,0.0,0.0,796.0
4381884,2,0,57189.8,65824.2,0.0,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,1848.0
4381904,2,1,57782.0,26688.0,0.0,3640.0,2080.0,0.0,1560.0,0.0,0.0,0.0,3640.0
4381914,4,1,58556.4,48263.8004,288.0,4420.0,2860.0,0.0,1560.0,0.0,0.0,0.0,1400.0
4381934,2,0,55600.0,62160.0004,600.0,14560.0,13260.0,0.0,1300.0,400.0,56.0,0.0,968.0
4381964,1,0,17382.0,17144.0,720.0,5200.0,3640.0,0.0,1560.0,0.0,0.0,0.0,888.0
4381974,2,1,13092.0,100020.0,360.0,7280.0,6240.0,0.0,1040.0,0.0,0.0,0.0,1860.0
4381984,3,2,157666.2,100343.9996,3000.0,31668.0,31668.0,0.0,0.0,0.0,0.0,0.0,1520.0
4382034,3,0,52675.8,62489.2004,0.0,18720.0,14040.0,0.0,4680.0,0.0,0.0,0.0,1228.0
4382064,2,1,71753.0,49512.0,0.0,8528.0,6968.0,0.0,1560.0,0.0,0.0,0.0,1320.0
